Orthogroup	Monoraphidium_minutum-Sphaeropleales-Selenastraceae-Monoraphidium.prot	Monoraphidium_neglectum-Sphaeropleales-Selenastraceae-Monoraphidium.prot
OG0000000	KAI8462222.1, KAI8462438.1, KAI8464128.1, KAI8464934.1, KAI8464941.1, KAI8465359.1, KAI8465381.1, KAI8465491.1, KAI8465684.1, KAI8465925.1, KAI8465957.1, KAI8466157.1, KAI8466160.1, KAI8466189.1, KAI8466190.1, KAI8466215.1, KAI8466376.1, KAI8466540.1, KAI8466891.1, KAI8467054.1, KAI8467100.1, KAI8468349.1, KAI8468350.1, KAI8468582.1, KAI8468668.1, KAI8469196.1, KAI8469607.1, KAI8470532.1, KAI8470577.1, KAI8470596.1, KAI8470772.1, KAI8471273.1, KAI8472252.1, KAI8472651.1, KAI8473181.1, KAI8473687.1, KAI8473981.1, KAI8474157.1, KAI8474668.1, KAI8475357.1, KAI8476333.1, KAI8476991.1, KAI8477179.1	XP_013896649.1, XP_013906552.1
OG0000001	KAI8462198.1, KAI8462208.1, KAI8462285.1, KAI8462494.1, KAI8462807.1, KAI8463101.1, KAI8463327.1, KAI8463675.1, KAI8463858.1, KAI8464840.1, KAI8467540.1, KAI8467542.1, KAI8467543.1, KAI8467584.1, KAI8467832.1, KAI8468355.1, KAI8469102.1, KAI8469175.1, KAI8469182.1, KAI8469368.1, KAI8470043.1, KAI8470237.1, KAI8471956.1, KAI8472815.1, KAI8473059.1, KAI8473522.1, KAI8473759.1, KAI8474189.1, KAI8474249.1, KAI8474253.1, KAI8474947.1, KAI8475575.1, KAI8475654.1, KAI8475713.1, KAI8475727.1, KAI8475728.1, KAI8477248.1, KAI8477254.1, KAI8477307.1, KAI8477512.1	XP_013894527.1, XP_013895853.1, XP_013902093.1
OG0000002	KAI8462498.1	XP_013891154.1, XP_013891286.1, XP_013893365.1, XP_013893827.1, XP_013893915.1, XP_013893997.1, XP_013894167.1, XP_013894174.1, XP_013894593.1, XP_013894734.1, XP_013895300.1, XP_013895339.1, XP_013895934.1, XP_013896005.1, XP_013896184.1, XP_013896664.1, XP_013896893.1, XP_013897309.1, XP_013897310.1, XP_013897924.1, XP_013898004.1, XP_013898039.1, XP_013898115.1, XP_013898369.1, XP_013898407.1, XP_013898678.1, XP_013898680.1, XP_013899354.1, XP_013900112.1, XP_013900114.1, XP_013900479.1, XP_013900586.1, XP_013900660.1, XP_013901063.1, XP_013901064.1, XP_013901192.1, XP_013901555.1, XP_013902686.1, XP_013903212.1, XP_013903214.1, XP_013903217.1, XP_013905213.1
OG0000003	KAI8462214.1, KAI8462216.1, KAI8462218.1, KAI8462236.1, KAI8462246.1, KAI8462268.1, KAI8462270.1, KAI8462302.1, KAI8462303.1, KAI8462335.1, KAI8462366.1, KAI8462377.1, KAI8462379.1, KAI8462403.1, KAI8462408.1, KAI8462499.1, KAI8462501.1, KAI8462545.1, KAI8462794.1, KAI8462822.1, KAI8463028.1, KAI8463030.1, KAI8463062.1, KAI8463529.1, KAI8463548.1, KAI8463775.1, KAI8464228.1, KAI8464430.1, KAI8464431.1, KAI8465645.1, KAI8469143.1, KAI8469496.1, KAI8470501.1, KAI8473125.1, KAI8475669.1, KAI8476651.1	XP_013893195.1
OG0000004	KAI8463441.1, KAI8464006.1, KAI8464236.1, KAI8465616.1, KAI8465696.1, KAI8465903.1, KAI8465963.1, KAI8466553.1, KAI8466654.1, KAI8467241.1, KAI8467861.1, KAI8468008.1, KAI8468012.1, KAI8468147.1, KAI8468452.1, KAI8468457.1, KAI8468980.1, KAI8469005.1, KAI8470135.1, KAI8470322.1, KAI8470332.1, KAI8470767.1, KAI8470776.1, KAI8471350.1, KAI8471382.1, KAI8471522.1, KAI8471886.1, KAI8472132.1, KAI8472492.1, KAI8473108.1, KAI8473458.1, KAI8475966.1, KAI8476164.1, KAI8476305.1, KAI8476433.1, KAI8477417.1	XP_013901454.1
OG0000005	KAI8462194.1, KAI8462196.1, KAI8462211.1, KAI8462220.1, KAI8462224.1, KAI8462225.1, KAI8462267.1, KAI8462269.1, KAI8462293.1, KAI8462304.1, KAI8462378.1, KAI8462401.1, KAI8462407.1, KAI8462409.1, KAI8462450.1, KAI8462500.1, KAI8462546.1, KAI8462792.1, KAI8462796.1, KAI8463027.1, KAI8463058.1, KAI8463061.1, KAI8463457.1, KAI8463602.1, KAI8463689.1, KAI8464227.1, KAI8465642.1, KAI8466801.1, KAI8466802.1, KAI8469497.1, KAI8469498.1, KAI8471638.1, KAI8473124.1, KAI8476205.1, KAI8476649.1, KAI8476650.1	
OG0000006	KAI8468161.1, KAI8470346.1	XP_013890420.1, XP_013891324.1, XP_013891499.1, XP_013891520.1, XP_013891794.1, XP_013892562.1, XP_013894565.1, XP_013895697.1, XP_013898427.1, XP_013898765.1, XP_013899377.1, XP_013899378.1, XP_013899629.1, XP_013899630.1, XP_013899631.1, XP_013899965.1, XP_013900658.1, XP_013900755.1, XP_013900756.1, XP_013901594.1, XP_013901595.1, XP_013902871.1, XP_013902872.1, XP_013902873.1, XP_013902874.1, XP_013903064.1, XP_013904079.1, XP_013904080.1, XP_013904081.1, XP_013904082.1
OG0000007	KAI8465295.1, KAI8466505.1, KAI8467979.1, KAI8474659.1	XP_013893363.1, XP_013895911.1, XP_013896224.1, XP_013896932.1, XP_013896933.1, XP_013896934.1, XP_013897134.1, XP_013897217.1, XP_013897654.1, XP_013899332.1, XP_013899674.1, XP_013900480.1, XP_013900481.1, XP_013900482.1, XP_013900869.1, XP_013901856.1, XP_013903314.1, XP_013903369.1, XP_013903644.1, XP_013903646.1, XP_013904753.1, XP_013904914.1, XP_013904916.1, XP_013904917.1, XP_013906274.1
OG0000008	KAI8470681.1, KAI8472912.1	XP_013890571.1, XP_013892503.1, XP_013894204.1, XP_013896075.1, XP_013899313.1, XP_013900603.1, XP_013900604.1, XP_013902011.1, XP_013902876.1, XP_013902877.1, XP_013902878.1, XP_013902879.1, XP_013902880.1, XP_013903827.1, XP_013903828.1, XP_013903829.1, XP_013903830.1, XP_013903831.1, XP_013903832.1, XP_013905865.1, XP_013906108.1, XP_013906109.1, XP_013906113.1, XP_013906298.1, XP_013906917.1, XP_013906922.1, XP_013906924.1
